ID,City,SumPopulation,MinValue,MaxValue
1,Istanbul,15519267,0,18.690000000000001
2,Ankara,5639076,18.690000000000001,28.276429200000003
3,Izmir,4367251,28.276429200000003,35.700755900000004
4,Bursa,3056120,35.700755900000004,40.896159900000001
5,Antalya,2511700,40.896159900000001,45.166049899999997
6,Adana,2237940,45.166049899999997,48.9705479
7,Konya,2232374,48.9705479,52.765583700000001
8,Sanliurfa,2073614,52.765583700000001,56.290727500000003
9,Gaziantep,2069364,56.290727500000003,59.808646300000007
10,Kocaeli,1953035,59.808646300000007,63.128805800000009
11,Mersin,1840425,63.128805800000009,66.257528300000004
12,Diyarbakir,1756353,66.257528300000004,69.24332840000001
13,Hatay,1628894,69.24332840000001,72.012448200000009
14,Manisa,1440611,72.012448200000009,74.461486900000011
15,Kayseri,1407409,74.461486900000011,76.854082200000008
16,Samsun,1348542,76.854082200000008,79.146603600000006
17,Balikesir,1228620,79.146603600000006,81.235257600000011
18,Kahramanmaras,1154102,81.235257600000011,83.197231000000016
19,Van,1136757,83.197231000000016,85.129717900000017
20,Aydin,1110972,85.129717900000017,87.018370300000015
21,Tekirdag,1055412,87.018370300000015,88.812570700000009
22,Denizli,1037208,88.812570700000009,90.575824300000008
23,Sakarya,1029650,90.575824300000008,92.326229300000008
24,Mugla,983142,92.326229300000008,93.997570700000011
25,Eskisehir,887475,93.997570700000011,95.506278200000011
26,Mardin,838778,95.506278200000011,96.932200800000018
27,Trabzon,808974,96.932200800000018,98.307456600000023
28,Malatya,800165,98.307456600000023,99.667737100000025
29,Erzurum,762062,99.667737100000025,100.96324250000002
30,Ordu,754198,100.96324250000002,102.24537910000002
31,Afyonkarahisar,729483,102.24537910000002,103.48550020000002
32,Sivas,638956,103.48550020000002,104.57172540000002
33,Adiyaman,626465,104.57172540000002,105.63671590000001
34,Tokat,612747,105.63671590000001,106.67838580000002
35,Batman,608659,106.67838580000002,107.71310610000002
36,Zonguldak,596053,107.71310610000002,108.72639620000002
37,Elazig,591098,108.72639620000002,109.73126280000002
38,Kütahya,579257,109.73126280000002,110.71599970000003
39,Çanakkale,542157,110.71599970000003,111.63766660000003
40,Osmaniye,538759,111.63766660000003,112.55355690000003
41,Agri,536199,112.55355690000003,113.46509520000004
42,Çorum,530864,113.46509520000004,114.36756400000003
43,Sirnak,529615,114.36756400000003,115.26790950000003
44,Giresun,448400,115.26790950000003,116.03018950000003
45,Isparta,444914,116.03018950000003,116.78654330000003
46,Yozgat,421200,116.78654330000003,117.50258330000004
47,Aksaray,416367,117.50258330000004,118.21040720000003
48,Edirne,413903,118.21040720000003,118.91404230000003
49,Mus,408809,118.91404230000003,119.60901760000003
50,Düzce,392166,119.60901760000003,120.27569980000003
51,Kastamonu,379405,120.27569980000003,120.92068830000002
52,Usak,370509,120.92068830000002,121.55055360000003
53,Nigde,362861,121.55055360000003,122.16741730000003
54,Kirklareli,361836,122.16741730000003,122.78253850000003
55,Bitlis,348115,122.78253850000003,123.37433400000003
56,Rize,343212,123.37433400000003,123.95779440000004
57,Amasya,337800,123.95779440000004,124.53205440000004
58,Siirt,330280,124.53205440000004,125.09353040000003
59,Bolu,316126,125.09353040000003,125.63094460000003
60,Nevsehir,303010,125.63094460000003,126.14606160000004
61,Kars,285410,126.14606160000004,126.63125860000004
62,Kirikkale,283017,126.63125860000004,127.11238750000004
63,Hakkari,280991,127.11238750000004,127.59007220000004
64,Bingöl,279812,127.59007220000004,128.06575260000002
65,Yalova,270976,128.06575260000002,128.52641180000003
66,Burdur,270796,128.52641180000003,128.98676500000002
67,Karaman,253279,128.98676500000002,129.41733930000001
68,Karabük,248458,129.41733930000001,129.83971790000001
69,Kirsehir,242938,129.83971790000001,130.2527125
70,Erzincan,234747,130.2527125,130.6517824
71,Bilecik,219427,130.6517824,131.02480829999999
72,Sinop,218243,131.02480829999999,131.39582139999999
73,Igdir,199442,131.39582139999999,131.73487279999998
74,Bartin,198249,131.73487279999998,132.07189609999998
75,Çankiri,195789,132.07189609999998,132.40473739999999
76,Artvin,170875,132.40473739999999,132.6952249
77,Gümüshane,164521,132.6952249,132.97491059999999
78,Kilis,142490,132.97491059999999,133.21714359999999
79,Ardahan,97319,133.21714359999999,133.38258589999998
80,Bayburt,84843,133.38258589999998,133.52681899999999
81,Tunceli,84660,133.52681899999999,133.67074099999999
