Sube_ID,Branch_Name,Region,Location_
1,Istanbul Branch,MARMARA BÖLGESI,Istanbul 
2,Ankara Branch,IÇ ANADOLU BÖLGESI,Ankara 
3,Izmir Branch,EGE BÖLGESI,Izmir 
4,Bursa Branch,MARMARA BÖLGESI,Bursa 
5,Antalya Branch,AKDENIZ BÖLGESI,Antalya 
6,Adana Branch,AKDENIZ BÖLGESI,Adana 
7,Konya Branch,IÇ ANADOLU BÖLGESI,Konya 
8,Sanliurfa Branch,GÜNEYDOGU ANADOLU BÖLGESI,Sanliurfa 
9,Gaziantep Branch,GÜNEYDOGU ANADOLU BÖLGESI,Gaziantep 
10,Kocaeli Branch,MARMARA BÖLGESI,Kocaeli 
11,Mersin Branch,AKDENIZ BÖLGESI,Mersin 
12,Diyarbakir Branch,GÜNEYDOGU ANADOLU BÖLGESI,Diyarbakir 
13,Hatay Branch,AKDENIZ BÖLGESI,Hatay 
14,Manisa Branch,EGE BÖLGESI,Manisa 
15,Kayseri Branch,IÇ ANADOLU BÖLGESI,Kayseri 
16,Samsun Branch,KARADENIZ BÖLGESI,Samsun 
17,Balikesir Branch,MARMARA BÖLGESI,Balikesir 
18,Kahramanmaras Branch,AKDENIZ BÖLGESI,Kahramanmaras 
19,Van Branch,DOGU ANADOLU BÖLGESI,Van 
20,Aydin Branch,EGE BÖLGESI,Aydin 
21,Tekirdag Branch,MARMARA BÖLGESI,Tekirdag 
22,Denizli Branch,EGE BÖLGESI,Denizli 
23,Sakarya Branch,MARMARA BÖLGESI,Sakarya 
24,Mugla Branch,EGE BÖLGESI,Mugla 
25,Eskisehir Branch,IÇ ANADOLU BÖLGESI,Eskisehir 
26,Mardin Branch,GÜNEYDOGU ANADOLU BÖLGESI,Mardin 
27,Trabzon Branch,KARADENIZ BÖLGESI,Trabzon 
28,Malatya Branch,DOGU ANADOLU BÖLGESI,Malatya 
29,Erzurum Branch,DOGU ANADOLU BÖLGESI,Erzurum 
30,Ordu Branch,KARADENIZ BÖLGESI,Ordu 
31,Afyonkarahisar Branch,EGE BÖLGESI,Afyonkarahisar 
32,Sivas Branch,IÇ ANADOLU BÖLGESI,Sivas 
33,Adiyaman Branch,GÜNEYDOGU ANADOLU BÖLGESI,Adiyaman 
34,Tokat Branch,KARADENIZ BÖLGESI,Tokat 
35,Batman Branch,GÜNEYDOGU ANADOLU BÖLGESI,Batman 
36,Zonguldak Branch,KARADENIZ BÖLGESI,Zonguldak 
37,Elazig Branch,DOGU ANADOLU BÖLGESI,Elazig 
38,Kütahya Branch,EGE BÖLGESI,Kütahya 
39,Çanakkale Branch,MARMARA BÖLGESI,Çanakkale 
40,Osmaniye Branch,AKDENIZ BÖLGESI,Osmaniye 
41,Agri Branch,DOGU ANADOLU BÖLGESI,Agri 
42,Çorum Branch,KARADENIZ BÖLGESI,Çorum 
43,Sirnak Branch,DOGU ANADOLU BÖLGESI,Sirnak 
44,Giresun Branch,KARADENIZ BÖLGESI,Giresun 
45,Isparta Branch,AKDENIZ BÖLGESI,Isparta 
46,Yozgat Branch,IÇ ANADOLU BÖLGESI,Yozgat 
47,Aksaray Branch,IÇ ANADOLU BÖLGESI,Aksaray 
48,Edirne Branch,MARMARA BÖLGESI,Edirne 
49,Mus Branch,DOGU ANADOLU BÖLGESI,Mus 
50,Düzce Branch,KARADENIZ BÖLGESI,Düzce 
51,Kastamonu Branch,IÇ ANADOLU BÖLGESI,Kastamonu 
52,Usak Branch,EGE BÖLGESI,Usak 
53,Nigde Branch,IÇ ANADOLU BÖLGESI,Nigde 
54,Kirklareli Branch,MARMARA BÖLGESI,Kirklareli 
55,Bitlis Branch,DOGU ANADOLU BÖLGESI,Bitlis 
56,Rize Branch,KARADENIZ BÖLGESI,Rize 
57,Amasya Branch,KARADENIZ BÖLGESI,Amasya 
58,Siirt Branch,GÜNEYDOGU ANADOLU BÖLGESI,Siirt 
59,Bolu Branch,KARADENIZ BÖLGESI,Bolu 
60,Nevsehir Branch,IÇ ANADOLU BÖLGESI,Nevsehir 
61,Kars Branch,DOGU ANADOLU BÖLGESI,Kars 
62,Kirikkale Branch,IÇ ANADOLU BÖLGESI,Kirikkale 
63,Hakkari Branch,DOGU ANADOLU BÖLGESI,Hakkari 
64,Bingöl Branch,DOGU ANADOLU BÖLGESI,Bingöl 
65,Yalova Branch,MARMARA BÖLGESI,Yalova 
66,Burdur Branch,AKDENIZ BÖLGESI,Burdur 
67,Karaman Branch,IÇ ANADOLU BÖLGESI,Karaman 
68,Karabük Branch,KARADENIZ BÖLGESI,Karabük 
69,Kirsehir Branch,IÇ ANADOLU BÖLGESI,Kirsehir 
70,Erzincan Branch,DOGU ANADOLU BÖLGESI,Erzincan 
71,Bilecik Branch,MARMARA BÖLGESI,Bilecik 
72,Sinop Branch,KARADENIZ BÖLGESI,Sinop 
73,Igdir Branch,DOGU ANADOLU BÖLGESI,Igdir 
74,Bartin Branch,KARADENIZ BÖLGESI,Bartin 
75,Çankiri Branch,IÇ ANADOLU BÖLGESI,Çankiri 
76,Artvin Branch,KARADENIZ BÖLGESI,Artvin 
77,Gümüshane Branch,KARADENIZ BÖLGESI,Gümüshane 
78,Kilis Branch,GÜNEYDOGU ANADOLU BÖLGESI,Kilis 
79,Ardahan Branch,DOGU ANADOLU BÖLGESI,Ardahan 
80,Bayburt Branch,KARADENIZ BÖLGESI,Bayburt 
81,Tunceli Branch,DOGU ANADOLU BÖLGESI,Tunceli 
