Sube_ID,Category,Date_,Sales,Sales_Target
1,Personal,2023-01-25,59920,57004
2,Personal,2023-01-25,32670,24991
3,Personal,2023-01-25,20030,25331
4,Personal,2023-01-25,12152,15284
5,Personal,2023-01-25,12365,12638
6,Personal,2023-01-25,9948,10899
7,Personal,2023-01-25,7741,10846
8,Personal,2023-01-25,9465,10786
9,Personal,2023-01-25,12157,11077
10,Personal,2023-01-25,8290,10073
11,Personal,2023-01-25,10471,9010
12,Personal,2023-01-25,8384,6520
13,Personal,2023-01-25,6128,7889
14,Personal,2023-01-25,4937,8468
15,Personal,2023-01-25,5309,4880
16,Personal,2023-01-25,6187,7482
17,Personal,2023-01-25,4239,4256
18,Personal,2023-01-25,4608,5454
19,Personal,2023-01-25,5849,5223
20,Personal,2023-01-25,4476,5813
21,Personal,2023-01-25,5698,5479
22,Personal,2023-01-25,5619,4854
23,Personal,2023-01-25,4587,5389
24,Personal,2023-01-25,4592,5475
25,Personal,2023-01-25,4222,3590
26,Personal,2023-01-25,4490,4531
27,Personal,2023-01-25,3765,3889
28,Personal,2023-01-25,4682,3357
29,Personal,2023-01-25,4205,2727
30,Personal,2023-01-25,4014,4315
31,Personal,2023-01-25,3187,2750
32,Personal,2023-01-25,2180,2770
33,Personal,2023-01-25,2377,2721
34,Personal,2023-01-25,2218,2221
35,Personal,2023-01-25,3154,2885
36,Personal,2023-01-25,3205,2551
37,Personal,2023-01-25,2412,2803
38,Personal,2023-01-25,3299,2132
39,Personal,2023-01-25,2346,2005
40,Personal,2023-01-25,2205,2693
41,Personal,2023-01-25,2153,1957
42,Personal,2023-01-25,2174,2223
43,Personal,2023-01-25,1828,2920
44,Personal,2023-01-25,1963,2023
45,Personal,2023-01-25,1532,2065
46,Personal,2023-01-25,2074,1778
47,Personal,2023-01-25,1752,2313
48,Personal,2023-01-25,1840,2359
49,Personal,2023-01-25,2399,2081
50,Personal,2023-01-25,1442,1658
51,Personal,2023-01-25,2071,1524
52,Personal,2023-01-25,1516,1803
53,Personal,2023-01-25,1769,1365
54,Personal,2023-01-25,1929,1711
55,Personal,2023-01-25,2031,1196
56,Personal,2023-01-25,1535,1650
57,Personal,2023-01-25,1819,1893
58,Personal,2023-01-25,1925,1868
59,Personal,2023-01-25,1355,1208
60,Personal,2023-01-25,1216,1632
61,Personal,2023-01-25,1298,1580
62,Personal,2023-01-25,1085,1178
63,Personal,2023-01-25,1122,1012
64,Personal,2023-01-25,1660,1623
65,Personal,2023-01-25,1286,1249
66,Personal,2023-01-25,1093,1050
67,Personal,2023-01-25,1405,872
68,Personal,2023-01-25,1375,1210
69,Personal,2023-01-25,968,1410
70,Personal,2023-01-25,1215,815
71,Personal,2023-01-25,1189,842
72,Personal,2023-01-25,1108,844
73,Personal,2023-01-25,802,913
74,Personal,2023-01-25,677,1103
75,Personal,2023-01-25,806,1018
76,Personal,2023-01-25,723,668
77,Personal,2023-01-25,787,860
78,Personal,2023-01-25,645,708
79,Personal,2023-01-25,491,574
80,Personal,2023-01-25,328,411
81,Personal,2023-01-25,298,349
1,Mortgage,2023-01-25,50593,60574
2,Mortgage,2023-01-25,26774,19489
3,Mortgage,2023-01-25,25198,22421
4,Mortgage,2023-01-25,12728,10479
5,Mortgage,2023-01-25,10905,9517
6,Mortgage,2023-01-25,11386,9674
7,Mortgage,2023-01-25,11187,7738
8,Mortgage,2023-01-25,7364,7653
9,Mortgage,2023-01-25,11366,9667
10,Mortgage,2023-01-25,7417,6982
11,Mortgage,2023-01-25,8553,6880
12,Mortgage,2023-01-25,6329,9372
13,Mortgage,2023-01-25,9619,6393
14,Mortgage,2023-01-25,7606,6279
15,Mortgage,2023-01-25,6005,6940
16,Mortgage,2023-01-25,6513,4734
17,Mortgage,2023-01-25,4434,6259
18,Mortgage,2023-01-25,5279,6003
19,Mortgage,2023-01-25,5764,3948
20,Mortgage,2023-01-25,4268,4666
21,Mortgage,2023-01-25,3681,5440
22,Mortgage,2023-01-25,3960,3872
23,Mortgage,2023-01-25,5548,4514
24,Mortgage,2023-01-25,4873,4542
25,Mortgage,2023-01-25,5138,3818
26,Mortgage,2023-01-25,3273,4210
27,Mortgage,2023-01-25,3935,3542
28,Mortgage,2023-01-25,3992,3875
29,Mortgage,2023-01-25,3015,3136
30,Mortgage,2023-01-25,3406,2592
31,Mortgage,2023-01-25,3097,4269
32,Mortgage,2023-01-25,2477,3030
33,Mortgage,2023-01-25,3665,2339
34,Mortgage,2023-01-25,3604,3002
35,Mortgage,2023-01-25,3457,3423
36,Mortgage,2023-01-25,2957,3102
37,Mortgage,2023-01-25,3352,2615
38,Mortgage,2023-01-25,1970,2839
39,Mortgage,2023-01-25,2409,1964
40,Mortgage,2023-01-25,2700,2650
41,Mortgage,2023-01-25,2070,2206
42,Mortgage,2023-01-25,2450,2036
43,Mortgage,2023-01-25,2115,2812
44,Mortgage,2023-01-25,2559,2196
45,Mortgage,2023-01-25,2272,2207
46,Mortgage,2023-01-25,1997,1455
47,Mortgage,2023-01-25,2386,2085
48,Mortgage,2023-01-25,2162,1797
49,Mortgage,2023-01-25,1902,2333
50,Mortgage,2023-01-25,2109,1498
51,Mortgage,2023-01-25,2120,2063
52,Mortgage,2023-01-25,1820,1774
53,Mortgage,2023-01-25,1358,1392
54,Mortgage,2023-01-25,2080,1805
55,Mortgage,2023-01-25,1889,1429
56,Mortgage,2023-01-25,1735,1269
57,Mortgage,2023-01-25,1985,1282
58,Mortgage,2023-01-25,1231,1175
59,Mortgage,2023-01-25,1642,1232
60,Mortgage,2023-01-25,1655,1086
61,Mortgage,2023-01-25,1014,1491
62,Mortgage,2023-01-25,1591,1314
63,Mortgage,2023-01-25,1571,1337
64,Mortgage,2023-01-25,1294,1134
65,Mortgage,2023-01-25,1074,1319
66,Mortgage,2023-01-25,1378,1320
67,Mortgage,2023-01-25,1072,1100
68,Mortgage,2023-01-25,1329,1470
69,Mortgage,2023-01-25,1150,948
70,Mortgage,2023-01-25,1317,1035
71,Mortgage,2023-01-25,973,826
72,Mortgage,2023-01-25,1033,1160
73,Mortgage,2023-01-25,684,939
74,Mortgage,2023-01-25,704,782
75,Mortgage,2023-01-25,1092,1134
76,Mortgage,2023-01-25,946,895
77,Mortgage,2023-01-25,947,900
78,Mortgage,2023-01-25,665,844
79,Mortgage,2023-01-25,573,496
80,Mortgage,2023-01-25,426,416
81,Mortgage,2023-01-25,425,438
1,Auto,2023-01-25,63377,46201
2,Auto,2023-01-25,27388,21128
3,Auto,2023-01-25,18575,23809
4,Auto,2023-01-25,14084,11222
5,Auto,2023-01-25,10982,10555
6,Auto,2023-01-25,11181,8385
7,Auto,2023-01-25,12815,11506
8,Auto,2023-01-25,11569,7184
9,Auto,2023-01-25,7479,10708
10,Auto,2023-01-25,11122,9452
11,Auto,2023-01-25,10853,6592
12,Auto,2023-01-25,10280,9020
13,Auto,2023-01-25,6670,7994
14,Auto,2023-01-25,6178,5331
15,Auto,2023-01-25,4866,6132
16,Auto,2023-01-25,4759,4729
17,Auto,2023-01-25,5227,4981
18,Auto,2023-01-25,6607,6666
19,Auto,2023-01-25,5867,4473
20,Auto,2023-01-25,5322,3958
21,Auto,2023-01-25,5581,5375
22,Auto,2023-01-25,3939,4177
23,Auto,2023-01-25,5494,5055
24,Auto,2023-01-25,5487,3586
25,Auto,2023-01-25,4471,4764
26,Auto,2023-01-25,3847,3119
27,Auto,2023-01-25,3916,4681
28,Auto,2023-01-25,3684,3169
29,Auto,2023-01-25,3219,3539
30,Auto,2023-01-25,3265,4087
