ID,City,Sum_Population,Sum_Male,Sum_Female
1,Istanbul,15519267,7790256,7729011
2,Ankara,5639076,2793850,2845226
3,Izmir,4367251,2174319,2192932
4,Bursa,3056120,1530956,1525164
5,Antalya,2511700,1265171,1246529
6,Adana,2237940,1117032,1120908
7,Konya,2232374,1108968,1123406
8,Sanliurfa,2073614,1045964,1027650
9,Gaziantep,2069364,1044799,1024565
10,Kocaeli,1953035,988098,964937
11,Mersin,1840425,919594,920831
12,Diyarbakir,1756353,886190,870163
13,Hatay,1628894,817998,810896
14,Manisa,1440611,725238,715373
15,Kayseri,1407409,705545,701864
16,Samsun,1348542,669055,679487
17,Balikesir,1228620,613474,615146
18,Kahramanmaras,1154102,586616,567486
19,Van,1136757,578044,558713
20,Aydin,1110972,552626,558346
21,Tekirdag,1055412,542646,512766
22,Denizli,1037208,517716,519492
23,Sakarya,1029650,516000,513650
24,Mugla,983142,500602,482540
25,Eskisehir,887475,443635,443840
26,Mardin,838778,420923,417855
27,Trabzon,808974,400723,408251
28,Malatya,800165,398249,401916
29,Erzurum,762062,379893,382169
30,Ordu,754198,376933,377265
31,Afyonkarahisar,729483,362447,367036
32,Sivas,638956,319624,319332
33,Adiyaman,626465,316112,310353
34,Tokat,612747,304938,307809
35,Batman,608659,306261,302398
36,Zonguldak,596053,295832,300221
37,Elazig,591098,293415,297683
38,Kütahya,579257,285020,294237
39,Çanakkale,542157,272097,270060
40,Osmaniye,538759,272242,266517
41,Agri,536199,277887,258312
42,Çorum,530864,263354,267510
43,Sirnak,529615,277728,251887
44,Giresun,448400,223422,224978
45,Isparta,444914,221316,223598
46,Yozgat,421200,210127,211073
47,Aksaray,416367,207390,208977
48,Edirne,413903,210304,203599
49,Mus,408809,208534,200275
50,Düzce,392166,196494,195672
51,Kastamonu,379405,189247,190158
52,Usak,370509,184529,185980
53,Nigde,362861,182177,180684
54,Kirklareli,361836,185070,176766
55,Bitlis,348115,179823,168292
56,Rize,343212,171571,171641
57,Amasya,337800,170407,167393
58,Siirt,330280,169211,161069
59,Bolu,316126,156777,159349
60,Nevsehir,303010,150047,152963
61,Kars,285410,146668,138742
62,Kirikkale,283017,141865,141152
63,Hakkari,280991,151143,129848
64,Bingöl,279812,141818,137994
65,Yalova,270976,135909,135067
66,Burdur,270796,136377,134419
67,Karaman,253279,126648,126631
68,Karabük,248458,124291,124167
69,Kirsehir,242938,120557,122381
70,Erzincan,234747,119906,114841
71,Bilecik,219427,112027,107400
72,Sinop,218243,108927,109316
73,Igdir,199442,102417,97025
74,Bartin,198249,97908,100341
75,Çankiri,195789,98683,97106
76,Artvin,170875,85975,84900
77,Gümüshane,164521,83196,81325
78,Kilis,142490,72520,69970
79,Ardahan,97319,50697,46622
80,Bayburt,84843,43006,41837
81,Tunceli,84660,46082,38578
